Date,JDfrom0,RelHum,AirT
01/01/2014 00:00,735600.000000,14.566667,-5.633333
01/01/2014 01:00,735600.041667,13.650000,-5.583333
01/01/2014 02:00,735600.083333,12.350000,-5.483333
01/01/2014 03:00,735600.125000,14.300000,-6.316667
01/01/2014 04:00,735600.166667,10.483333,-5.033333
01/01/2014 05:00,735600.208333,12.183333,-5.133333
01/01/2014 06:00,735600.250000,18.833333,-5.700000
01/01/2014 07:00,735600.291667,28.933333,-4.766667
01/01/2014 08:00,735600.333333,35.216667,-4.850000
01/01/2014 09:00,735600.375000,33.900000,-4.433333
01/01/2014 10:00,735600.416667,30.000000,-3.500000
01/01/2014 11:00,735600.458333,32.616667,-2.833333
01/01/2014 12:00,735600.500000,36.066667,-3.500000
01/01/2014 13:00,735600.541667,39.016667,-5.200000
01/01/2014 14:00,735600.583333,34.950000,-4.266667
01/01/2014 15:00,735600.625000,34.783333,-3.433333
01/01/2014 16:00,735600.666667,36.316667,-3.966667
01/01/2014 17:00,735600.708333,37.866667,-4.266667
01/01/2014 18:00,735600.750000,37.433333,-4.850000
01/01/2014 19:00,735600.791667,37.150000,-5.066667
01/01/2014 20:00,735600.833333,37.516667,-5.783333
01/01/2014 21:00,735600.875000,36.733333,-5.966667
01/01/2014 22:00,735600.916667,38.916667,-5.883333
01/01/2014 23:00,735600.958333,41.166667,-6.033333
02/01/2014 00:00,735601.000000,41.816667,-5.450000
02/01/2014 01:00,735601.041667,42.000000,-5.516667
02/01/2014 02:00,735601.083333,43.383333,-6.116667
02/01/2014 03:00,735601.125000,41.750000,-6.250000
02/01/2014 04:00,735601.166667,42.766667,-6.750000
02/01/2014 05:00,735601.208333,46.350000,-5.850000
02/01/2014 06:00,735601.250000,58.666667,-5.050000
02/01/2014 07:00,735601.291667,65.283333,-4.700000
02/01/2014 08:00,735601.333333,71.050000,-4.633333
02/01/2014 09:00,735601.375000,76.483333,-3.850000
02/01/2014 10:00,735601.416667,76.983333,-4.766667
02/01/2014 11:00,735601.458333,76.916667,-4.216667
02/01/2014 12:00,735601.500000,77.833333,-3.500000
02/01/2014 13:00,735601.541667,87.516667,-4.266667
02/01/2014 14:00,735601.583333,87.450000,-3.450000
02/01/2014 15:00,735601.625000,90.833333,-3.616667
02/01/2014 16:00,735601.666667,94.916667,-4.016667
02/01/2014 17:00,735601.708333,97.816667,-4.266667
02/01/2014 18:00,735601.750000,97.650000,-4.233333
02/01/2014 19:00,735601.791667,95.450000,-3.883333
02/01/2014 20:00,735601.833333,91.833333,-3.400000
02/01/2014 21:00,735601.875000,95.500000,-4.166667
02/01/2014 22:00,735601.916667,94.916667,-3.950000
02/01/2014 23:00,735601.958333,98.233333,-4.416667
03/01/2014 00:00,735602.000000,85.900000,-4.066667
03/01/2014 01:00,735602.041667,83.133333,-5.016667
03/01/2014 02:00,735602.083333,85.766667,-6.033333
03/01/2014 03:00,735602.125000,81.433333,-5.900000
03/01/2014 04:00,735602.166667,82.133333,-5.733333
03/01/2014 05:00,735602.208333,72.266667,-5.150000
03/01/2014 06:00,735602.250000,79.383333,-6.183333
03/01/2014 07:00,735602.291667,82.516667,-5.883333
03/01/2014 08:00,735602.333333,71.100000,-5.066667
03/01/2014 09:00,735602.375000,70.716667,-4.433333
03/01/2014 10:00,735602.416667,71.000000,-4.116667
03/01/2014 11:00,735602.458333,74.400000,-3.700000
03/01/2014 12:00,735602.500000,85.116667,-4.750000
03/01/2014 13:00,735602.541667,84.716667,-4.083333
03/01/2014 14:00,735602.583333,83.566667,-3.616667
03/01/2014 15:00,735602.625000,85.333333,-4.150000
03/01/2014 16:00,735602.666667,79.900000,-3.950000
03/01/2014 17:00,735602.708333,79.183333,-3.716667
03/01/2014 18:00,735602.750000,82.783333,-4.016667
03/01/2014 19:00,735602.791667,71.366667,-2.416667
03/01/2014 20:00,735602.833333,72.183333,-3.033333
03/01/2014 21:00,735602.875000,75.816667,-3.733333
03/01/2014 22:00,735602.916667,73.766667,-3.733333
03/01/2014 23:00,735602.958333,66.633333,-2.950000
04/01/2014 00:00,735603.000000,64.916667,-2.850000
04/01/2014 01:00,735603.041667,60.783333,-2.350000
04/01/2014 02:00,735603.083333,58.616667,-1.866667
04/01/2014 03:00,735603.125000,60.733333,-2.066667
04/01/2014 04:00,735603.166667,54.566667,-0.933333
04/01/2014 05:00,735603.208333,53.966667,-0.366667
04/01/2014 06:00,735603.250000,70.433333,-2.783333
04/01/2014 07:00,735603.291667,67.566667,-1.966667
04/01/2014 08:00,735603.333333,85.183333,-2.816667
04/01/2014 09:00,735603.375000,87.216667,-2.633333
04/01/2014 10:00,735603.416667,88.816667,-2.166667
04/01/2014 11:00,735603.458333,91.483333,-1.666667
