Date12.DDMMYYYYhhmm.,soil_moisture_content_20,soil_moisture_content_50,soil_moisture_content_200,soil_temperature_20,soil_temperature_50,soil_temperature_200
28/05/2015 13:00,0.24275,0.3885,0.261,14.02,11.605,8.17
28/05/2015 14:00,0.24275,0.3885,0.261,14.925,11.93,8.00925
28/05/2015 15:00,0.242,0.387,0.26075,14.9975,11.9,7.78675
28/05/2015 16:00,0.242,0.3865,0.26,14.445,11.67,7.68325
28/05/2015 17:00,0.242,0.386,0.26,12.995,11.08,7.64375
28/05/2015 18:00,0.242,0.386,0.2605,11.6875,10.4525,7.64375
28/05/2015 19:00,0.242,0.387,0.26075,10.53,9.8425,7.637
28/05/2015 20:00,0.242,0.387,0.261,9.4675,9.23,7.61175
28/05/2015 21:00,0.242,0.387,0.261,8.4925,8.625,7.565
28/05/2015 22:00,0.242,0.387,0.261,7.68075,8.079,7.49575
28/05/2015 23:00,0.242,0.387,0.261,7.03275,7.60675,7.4015
29/05/2015 00:00,0.242,0.387,0.261,6.50075,7.19,7.2905
29/05/2015 01:00,0.242,0.387,0.261,6.0165,6.83125,7.16075
29/05/2015 02:00,0.242,0.387,0.261,5.57075,6.50075,7.03775
29/05/2015 03:00,0.242,0.387,0.261,5.181,6.196,6.89675
29/05/2015 04:00,0.243,0.38775,0.261,4.84675,5.9205,6.761
29/05/2015 05:00,0.243,0.388,0.261,4.57275,5.679,6.62875
29/05/2015 06:00,0.243,0.388,0.261,4.40525,5.479,6.49325
29/05/2015 07:00,0.242,0.38725,0.261,4.6755,5.46975,6.369
29/05/2015 08:00,0.24175,0.387,0.261,5.6295,5.79225,6.24575
29/05/2015 09:00,0.241,0.386,0.26,7.19,6.5335,6.14525
29/05/2015 10:00,0.24,0.38475,0.26,9.19,7.63275,6.081
29/05/2015 11:00,0.23925,0.384,0.26,10.6675,8.705,6.0785
29/05/2015 12:00,0.23875,0.38325,0.26075,10.9075,9.095,6.1275
29/05/2015 13:00,0.23775,0.3825,0.26,11.735,9.5175,6.23325
29/05/2015 14:00,0.2365,0.381,0.26,12.95,10.1625,6.357
29/05/2015 15:00,0.236,0.381,0.26,12.705,10.3225,6.51025
29/05/2015 16:00,0.236,0.381,0.2595,11.8675,10.0975,6.6785
29/05/2015 17:00,0.236,0.381,0.259,10.955,9.75,6.84125
29/05/2015 18:00,0.236,0.381,0.259,10.22,9.3975,6.98725
29/05/2015 19:00,0.236,0.381,0.259,9.5925,9.065,7.093
29/05/2015 20:00,0.236,0.381,0.259,9.05,8.7375,7.165
29/05/2015 21:00,0.237,0.382,0.25875,8.495,8.425,7.20525
29/05/2015 22:00,0.237,0.382,0.258,8.0195,8.1175,7.22
29/05/2015 23:00,0.238,0.382,0.258,7.56725,7.81775,7.21075
30/05/2015 00:00,0.238,0.382,0.258,7.311,7.59775,7.1815
30/05/2015 01:00,0.238,0.38225,0.258,7.12375,7.432,7.13775
30/05/2015 02:00,0.238,0.383,0.258,6.984,7.29425,7.08925
30/05/2015 03:00,0.238,0.383,0.258,6.8165,7.15375,7.0305
30/05/2015 04:00,0.239,0.383,0.258,6.46375,6.948,6.971
30/05/2015 05:00,0.239,0.383,0.258,6.0505,6.70625,6.904
30/05/2015 06:00,0.239,0.383,0.258,5.76,6.497,6.8375
30/05/2015 07:00,0.239,0.383,0.258,5.88975,6.4235,6.76375
30/05/2015 08:00,0.239,0.383,0.258,6.5845,6.62225,6.691
30/05/2015 09:00,0.239,0.383,0.258,7.08925,6.874,6.6235
30/05/2015 10:00,0.239,0.383,0.258,7.6395,7.12575,6.57925
30/05/2015 11:00,0.239,0.3825,0.258,8.545,7.55725,6.55225
30/05/2015 12:00,0.23875,0.38175,0.258,9.8075,8.1625,6.552
30/05/2015 13:00,0.238,0.381,0.258,10.8375,8.7275,6.58225
30/05/2015 14:00,0.238,0.3805,0.258,11.2225,9.12,6.6395
30/05/2015 15:00,0.238,0.38,0.258,11.73,9.4525,6.72325
30/05/2015 16:00,0.237,0.38,0.258,11.3725,9.515,6.83875
30/05/2015 17:00,0.237,0.38,0.258,10.8625,9.405,6.9505
30/05/2015 18:00,0.237,0.38,0.258,10.2775,9.2225,7.065
30/05/2015 19:00,0.23775,0.38025,0.258,9.7325,8.9925,7.157
30/05/2015 20:00,0.285,0.397,0.258,8.7475,8.525,7.23175
30/05/2015 21:00,0.29,0.40775,0.258,8.07725,8.1475,7.2845
30/05/2015 22:00,0.2895,0.408,0.258,7.6505,7.8875,7.2975
30/05/2015 23:00,0.289,0.408,0.258,7.40675,7.6895,7.2845
31/05/2015 00:00,0.288,0.408,0.258,7.18025,7.51325,7.25775
31/05/2015 01:00,0.28775,0.408,0.259,6.864,7.316,7.21475
31/05/2015 02:00,0.287,0.407,0.259,6.4975,7.092,7.16075
31/05/2015 03:00,0.286,0.4065,0.259,6.16925,6.87575,7.10475
31/05/2015 04:00,0.286,0.406,0.2595,5.98575,6.70225,7.0385
31/05/2015 05:00,0.28525,0.40525,0.26,5.89375,6.5715,6.96475
31/05/2015 06:00,0.285,0.405,0.26,5.8265,6.46625,6.888
31/05/2015 07:00,0.28475,0.405,0.26,5.9115,6.42275,6.81375
31/05/2015 08:00,0.284,0.40425,0.26,6.29425,6.512,6.74775
31/05/2015 09:00,0.28325,0.40375,0.26,6.7115,6.6685,6.67825
31/05/2015 10:00,0.28275,0.40275,0.26,7.459,6.96475,6.63
31/05/2015 11:00,0.28175,0.402,0.26,8.5525,7.48325,6.60875
31/05/2015 12:00,0.281,0.40125,0.26,9.1725,7.866,6.60075
31/05/2015 13:00,0.2805,0.40025,0.26,10.0425,8.3075,6.62275
31/05/2015 14:00,0.2815,0.4,0.26,10.655,8.725,6.6805
31/05/2015 15:00,0.284,0.40025,0.26,10.8325,8.9975,6.753
31/05/2015 16:00,0.325,0.41675,0.26,9.9425,8.8525,6.84575
31/05/2015 17:00,0.324,0.4255,0.26025,9.3875,8.6425,6.945
31/05/2015 18:00,0.32375,0.427,0.261,9.2175,8.5625,7.029
31/05/2015 19:00,0.327,0.429,0.26175,8.8325,8.4175,7.094
