Iter  GoF  SOIL__N  SOIL__LOG10_Alpha  SOIL__ThetaSat  SOIL__ThetaRes  SOIL__LOG10_NormalHydrConductivity  SCALAR__SoilRoughness  SCALAR__LSAI  SCALAR__CanopyFraction  SCALAR__DecayCoeffCanopy  SCALAR__RootDepth  SCALAR__MinStomatalRes  SCALAR__VegReflectVis  SCALAR__VegReflNIR  SCALAR__VegTransVis  SCALAR__VegTransNIR  SCALAR__CanDensSurface  SCALAR__SoilAlbVisDry  SCALAR__SoilAlbNIRDry  SCALAR__SoilAlbVisWet  SCALAR__SoilAlbNIRWet  SCALAR__SoilEmissiv  
1   4.4818000E-02   1.1557939E+00  -2.8736192E+00   4.4506779E-01   5.0016883E-02  -3.2908641E+00   3.8070258E+02   5.2945830E-01   8.0593777E-01   6.0178241E+01   9.0094339E+02   1.6422994E+01   1.6548609E-01   2.1701132E-01   1.1633577E-01   2.8061228E-01   4.3315827E+00   5.4759119E-02   1.0560583E-01   1.4233613E-01   8.3206661E-02   9.8751678E-01  
2   4.4153000E-02   1.2084027E+00  -2.8038203E+00   4.8004206E-01   5.3990699E-02  -2.9227719E+00   2.2234158E+02   2.0670354E-01   4.5626624E-01   4.3243971E+01   2.9340499E+02   4.4791334E+01   1.6684479E-01   2.1175036E-01   1.1362300E-01   1.0415551E-01   2.9487088E+00   1.4842840E-01   2.0960113E-01   2.6262361E-01   2.1302572E-01   8.4167638E-01  
3   4.4153000E-02   1.2084027E+00  -2.8038203E+00   4.8004206E-01   5.3990699E-02  -2.9227719E+00   2.2234158E+02   2.0670354E-01   4.5626624E-01   4.3243971E+01   2.9340499E+02   4.4791334E+01   1.6684479E-01   2.1175036E-01   1.1362300E-01   1.0415551E-01   2.9487088E+00   1.4842840E-01   2.0960113E-01   2.6262361E-01   2.1302572E-01   8.4167638E-01  
4   4.4153000E-02   1.2084027E+00  -2.8038203E+00   4.8004206E-01   5.3990699E-02  -2.9227719E+00   2.2234158E+02   2.0670354E-01   4.5626624E-01   4.3243971E+01   2.9340499E+02   4.4791334E+01   1.6684479E-01   2.1175036E-01   1.1362300E-01   1.0415551E-01   2.9487088E+00   1.4842840E-01   2.0960113E-01   2.6262361E-01   2.1302572E-01   8.4167638E-01  
5   4.3250000E-02   1.1500000E+00  -2.4865420E+00   4.7378925E-01   4.1682774E-02  -3.7432858E+00   2.6751410E+02   8.9076194E-01   5.1674171E-01   2.5132577E+01   4.7346600E+02   7.0338449E+01   8.3768826E-02   2.2324174E-01   7.4834764E-02   1.7183016E-01   2.4913942E+00   8.2022093E-02   2.3272153E-01   3.9052369E-01   1.1118113E-01   8.5867499E-01  
6   4.3250000E-02   1.1500000E+00  -2.4865420E+00   4.7378925E-01   4.1682774E-02  -3.7432858E+00   2.6751410E+02   8.9076194E-01   5.1674171E-01   2.5132577E+01   4.7346600E+02   7.0338449E+01   8.3768826E-02   2.2324174E-01   7.4834764E-02   1.7183016E-01   2.4913942E+00   8.2022093E-02   2.3272153E-01   3.9052369E-01   1.1118113E-01   8.5867499E-01  
7   4.2783000E-02   1.1900851E+00  -2.7234796E+00   4.9821258E-01   5.7623431E-02  -4.3010300E+00   1.1761042E+02   8.5810135E-01   3.1091082E-01   3.8697746E+01   1.5393347E+02   5.4407955E+01   1.7002323E-01   2.7414155E-01   1.3791449E-01   3.7829824E-01   3.0577940E+00   5.0000000E-02   2.9792222E-01   1.4256481E-01   2.5147638E-01   8.6916533E-01  
8   4.2783000E-02   1.1900851E+00  -2.7234796E+00   4.9821258E-01   5.7623431E-02  -4.3010300E+00   1.1761042E+02   8.5810135E-01   3.1091082E-01   3.8697746E+01   1.5393347E+02   5.4407955E+01   1.7002323E-01   2.7414155E-01   1.3791449E-01   3.7829824E-01   3.0577940E+00   5.0000000E-02   2.9792222E-01   1.4256481E-01   2.5147638E-01   8.6916533E-01  
9   4.1951000E-02   1.1500000E+00  -2.6784390E+00   4.6661839E-01   4.3370528E-02  -4.1552899E+00   2.7560083E+02   9.0691124E-01   6.2047398E-01   3.8521710E+01   4.4865142E+02   6.8742783E+01   8.2739681E-02   2.3486433E-01   7.1959909E-02   1.7291248E-01   2.3905629E+00   1.2891370E-01   2.5789280E-01   3.6448529E-01   1.1202411E-01   8.1208359E-01  
10   4.1951000E-02   1.1500000E+00  -2.6784390E+00   4.6661839E-01   4.3370528E-02  -4.1552899E+00   2.7560083E+02   9.0691124E-01   6.2047398E-01   3.8521710E+01   4.4865142E+02   6.8742783E+01   8.2739681E-02   2.3486433E-01   7.1959909E-02   1.7291248E-01   2.3905629E+00   1.2891370E-01   2.5789280E-01   3.6448529E-01   1.1202411E-01   8.1208359E-01  
11   4.1895000E-02   1.2240798E+00  -2.6462128E+00   4.9672654E-01   6.8913138E-02  -4.2819083E+00   1.5584241E+02   7.3768488E-01   3.3340496E-01   3.3836956E+01   3.6926310E+02   6.1777140E+01   1.6984795E-01   2.5576485E-01   7.5238359E-02   1.5250322E-01   4.2317447E+00   8.4843245E-02   2.6682987E-01   2.8155319E-01   2.7865152E-01   8.9178551E-01  
12   4.0264000E-02   1.1657028E+00  -2.4988048E+00   4.7485853E-01   4.2156366E-02  -4.3010300E+00   2.6092875E+02   7.9853268E-01   6.0708776E-01   4.9076391E+01   2.5442856E+02   9.3927216E+01   1.5144100E-01   2.5158270E-01   7.6312183E-02   2.0301845E-01   7.6708849E+00   1.0640154E-01   2.2468267E-01   2.8561378E-01   6.2368379E-02   8.0124323E-01  
13   3.9651000E-02   1.2087138E+00  -2.4422079E+00   4.7060461E-01   6.0611338E-02  -4.3010300E+00   2.0958267E+02   8.8143186E-01   6.5867626E-01   3.7205937E+01   2.4222410E+02   5.7433901E+01   1.2257943E-01   2.3025500E-01   7.5678960E-02   2.6911730E-01   2.8827241E+00   6.8042916E-02   2.1794465E-01   2.1995811E-01   4.1372936E-01   8.3132972E-01  
14   3.8678000E-02   1.1645448E+00  -2.4240168E+00   4.8641352E-01   4.3716594E-02  -4.3010300E+00   1.5288719E+02   3.9086030E-01   6.2455336E-01   4.2994537E+01   2.4088460E+02   7.8314772E+01   1.6004207E-01   2.6967249E-01   8.0068813E-02   3.2174499E-01   6.3456946E+00   7.5836918E-02   2.3993469E-01   3.1568858E-01   7.8194978E-02   8.3864155E-01  
15   3.7631000E-02   1.1500000E+00  -2.3155885E+00   4.8414738E-01   6.8204936E-02  -4.3010300E+00   1.7379737E+02   9.2157436E-01   4.4692065E-01   4.1723653E+01   2.7558152E+02   5.5145458E+01   1.5311049E-01   2.7993906E-01   8.2175359E-02   2.5715961E-01   3.6933628E+00   5.0000000E-02   2.3939398E-01   2.3610579E-01   3.5813290E-01   8.6290690E-01  
16   3.7631000E-02   1.1500000E+00  -2.3155885E+00   4.8414738E-01   6.8204936E-02  -4.3010300E+00   1.7379737E+02   9.2157436E-01   4.4692065E-01   4.1723653E+01   2.7558152E+02   5.5145458E+01   1.5311049E-01   2.7993906E-01   8.2175359E-02   2.5715961E-01   3.6933628E+00   5.0000000E-02   2.3939398E-01   2.3610579E-01   3.5813290E-01   8.6290690E-01  
17   3.7631000E-02   1.1500000E+00  -2.3155885E+00   4.8414738E-01   6.8204936E-02  -4.3010300E+00   1.7379737E+02   9.2157436E-01   4.4692065E-01   4.1723653E+01   2.7558152E+02   5.5145458E+01   1.5311049E-01   2.7993906E-01   8.2175359E-02   2.5715961E-01   3.6933628E+00   5.0000000E-02   2.3939398E-01   2.3610579E-01   3.5813290E-01   8.6290690E-01  
18   3.6457000E-02   1.1500000E+00  -2.2083963E+00   4.7147769E-01   5.1787296E-02  -4.3010300E+00   1.2356487E+02   5.5911886E-01   6.5790890E-01   4.4033121E+01   2.2330544E+02   8.0344110E+01   1.5629422E-01   2.2662746E-01   6.9250207E-02   2.9508759E-01   6.3289221E+00   1.1360422E-01   2.5382984E-01   3.3379675E-01   1.4872938E-01   8.3643062E-01  
