GoF  SOIL__N  SOIL__LOG10_Alpha  SOIL__ThetaSat  SOIL__ThetaRes  SOIL__LOG10_NormalHydrConductivity  SCALAR__SoilRoughness  SCALAR__LSAI  SCALAR__CanopyFraction  SCALAR__DecayCoeffCanopy  SCALAR__RootDepth  SCALAR__MinStomatalRes  SCALAR__VegReflectVis  SCALAR__VegReflNIR  SCALAR__VegTransVis  SCALAR__VegTransNIR  SCALAR__CanDensSurface  SCALAR__SoilAlbVisDry  SCALAR__SoilAlbNIRDry  SCALAR__SoilAlbVisWet  SCALAR__SoilAlbNIRWet  SCALAR__SoilEmissiv
 4.415000e-02   1.233748e+00  -2.928087e+00   4.982034e-01   5.698571e-02  -2.848428e+00   2.360472e+02   6.251124e-01   1.849188e-01   4.440393e+01   7.079715e+02   6.860540e+01   1.834249e-01   2.589793e-01   8.932503e-02   2.822024e-01   2.035023e+00   1.899249e-01   3.110027e-01   1.328235e-01   3.506558e-01   8.794151e-01
 4.067200e-02   1.166656e+00  -2.542136e+00   4.599741e-01   6.145087e-02  -4.236197e+00   2.526923e+02   9.470189e-01   6.567987e-01   4.704000e+01   2.046384e+02   5.036346e+01   1.168507e-01   2.456215e-01   9.427855e-02   3.047992e-01   3.478577e+00   5.000000e-02   2.096534e-01   2.517354e-01   3.843850e-01   8.661896e-01
 4.005300e-02   1.150000e+00  -2.539517e+00   4.657015e-01   4.661546e-02  -4.301030e+00   2.540341e+02   6.447404e-01   7.146448e-01   4.917283e+01   2.765087e+02   7.220360e+01   1.551250e-01   2.343670e-01   1.071431e-01   2.414288e-01   4.733273e+00   1.125851e-01   2.823895e-01   2.621511e-01   1.670386e-01   8.229918e-01
 4.544700e-02   1.217918e+00  -2.764253e+00   5.392486e-01   5.255517e-02  -2.392581e+00   4.633047e+02   4.744347e-01   4.612590e-01   2.359668e+01   3.070543e+02   5.950177e+01   1.511204e-01   2.958386e-01   1.213653e-01   1.326672e-01   1.900707e+00   1.431587e-01   1.734493e-01   2.052305e-01   2.655793e-01   8.306803e-01
 4.256200e-02   1.193241e+00  -2.892120e+00   4.677041e-01   5.034435e-02  -3.190172e+00   6.740937e+01   4.715034e-01   3.071073e-01   6.251009e+01   5.552379e+02   4.733324e+01   1.309969e-01   2.422952e-01   1.304854e-01   2.920120e-01   3.819886e+00   9.323300e-02   1.508128e-01   3.124828e-01   2.708808e-01   9.046407e-01
 4.467200e-02   1.302919e+00  -2.538958e+00   5.024401e-01   6.071926e-02  -4.095669e+00   1.943077e+02   7.415514e-01   6.809703e-01   3.849938e+01   3.051141e+02   5.341865e+01   1.327927e-01   1.512668e-01   7.776416e-02   3.248038e-01   3.306225e+00   7.306289e-02   2.096093e-01   2.178863e-01   1.873450e-01   8.195007e-01
 4.116600e-02   1.242532e+00  -2.602346e+00   4.946727e-01   7.130015e-02  -4.301030e+00   1.124475e+02   8.338821e-01   3.887154e-01   3.074060e+01   2.296027e+02   5.041606e+01   1.702141e-01   2.396936e-01   9.995001e-02   1.940760e-01   4.384498e+00   5.000000e-02   3.242201e-01   3.343095e-01   3.180980e-01   8.880714e-01
 4.337000e-02   1.276952e+00  -2.355231e+00   4.975509e-01   5.612569e-02  -4.057400e+00   2.384207e+02   5.172966e-01   5.372736e-01   6.590409e+01   3.927364e+02   6.316413e+01   1.852033e-01   1.635249e-01   3.776135e-02   1.648466e-01   4.060538e+00   1.804758e-01   2.072325e-01   3.848995e-01   2.551932e-01   8.781709e-01
 4.092600e-02   1.173989e+00  -2.168248e+00   4.529068e-01   6.096748e-02  -4.153874e+00   2.520694e+02   3.441113e-01   6.889506e-01   6.280816e+01   2.505431e+02   7.018166e+01   1.752149e-01   2.289173e-01   8.232651e-02   4.026927e-01   2.920512e+00   1.092425e-01   2.617259e-01   2.886224e-01   2.230226e-01   8.159028e-01
 4.491800e-02   1.289050e+00  -2.176992e+00   4.823584e-01   6.036485e-02  -4.192842e+00   2.460046e+02   9.892335e-01   6.190934e-01   5.503765e+01   4.367613e+02   7.041475e+01   1.361903e-01   2.095070e-01   4.854109e-02   2.526827e-01   5.009494e+00   1.281013e-01   1.928788e-01   3.032997e-01   1.880413e-01   8.000000e-01
