Iter  Part  GoF  Model_Output  
1  1   6.1539000E-02   6.1539000E-02  
1  2   2.6535500E-01   2.6535500E-01  
1  3   7.0189000E-02   7.0189000E-02  
1  4   2.4510300E-01   2.4510300E-01  
1  5   9.2356000E-02   9.2356000E-02  
1  6   1.6542600E-01   1.6542600E-01  
1  7   6.4274000E-02   6.4274000E-02  
1  8   7.3383000E-02   7.3383000E-02  
1  9   6.5278000E-02   6.5278000E-02  
1  10   1.6636800E-01   1.6636800E-01  
1  11   6.2192000E-02   6.2192000E-02  
1  12   1.3357600E-01   1.3357600E-01  
1  13   1.0398600E-01   1.0398600E-01  
1  14   1.4558400E-01   1.4558400E-01  
1  15   2.3597700E-01   2.3597700E-01  
1  16   1.2487400E-01   1.2487400E-01  
1  17   1.1459700E-01   1.1459700E-01  
1  18   7.1454000E-02   7.1454000E-02  
1  19   1.3354200E-01   1.3354200E-01  
1  20   4.6408000E-02   4.6408000E-02  
1  21   6.2637000E-02   6.2637000E-02  
1  22   4.4818000E-02   4.4818000E-02  
1  23   1.2224800E-01   1.2224800E-01  
1  24   4.9252000E-02   4.9252000E-02  
1  25   2.1872900E-01   2.1872900E-01  
1  26   2.2370400E-01   2.2370400E-01  
1  27   1.2902400E-01   1.2902400E-01  
1  28   1.6891300E-01   1.6891300E-01  
1  29   5.2577000E-02   5.2577000E-02  
1  30   1.5201500E-01   1.5201500E-01  
1  31   1.8800400E-01   1.8800400E-01  
1  32   2.6128200E-01   2.6128200E-01  
1  33   1.6799800E-01   1.6799800E-01  
1  34   1.4813700E-01   1.4813700E-01  
1  35   5.9177000E-02   5.9177000E-02  
1  36   1.1185400E-01   1.1185400E-01  
1  37   1.9925900E-01   1.9925900E-01  
1  38   9.7686000E-02   9.7686000E-02  
1  39   1.9728200E-01   1.9728200E-01  
1  40   5.2620000E-02   5.2620000E-02  
1  41   2.0841200E-01   2.0841200E-01  
1  42   1.0125700E-01   1.0125700E-01  
1  43   9.6533000E-02   9.6533000E-02  
1  44   8.8559000E-02   8.8559000E-02  
1  45   2.0557000E-01   2.0557000E-01  
1  46   1.8203900E-01   1.8203900E-01  
1  47   5.2117000E-02   5.2117000E-02  
1  48   2.7399300E-01   2.7399300E-01  
1  49   8.2730000E-02   8.2730000E-02  
1  50   1.1132300E-01   1.1132300E-01  
1  51   1.1586500E-01   1.1586500E-01  
1  52   7.6172000E-02   7.6172000E-02  
1  53   1.6843300E-01   1.6843300E-01  
1  54   6.5049000E-02   6.5049000E-02  
1  55   2.5752300E-01   2.5752300E-01  
1  56   6.9493000E-02   6.9493000E-02  
1  57   5.0636000E-02   5.0636000E-02  
1  58   7.6252000E-02   7.6252000E-02  
1  59   2.0298100E-01   2.0298100E-01  
1  60   5.6807000E-02   5.6807000E-02  
1  61   2.5819300E-01   2.5819300E-01  
1  62   2.0258900E-01   2.0258900E-01  
1  63   8.0267000E-02   8.0267000E-02  
1  64   8.3265000E-02   8.3265000E-02  
1  65   1.6941400E-01   1.6941400E-01  
1  66   2.7026100E-01   2.7026100E-01  
1  67   6.2624000E-02   6.2624000E-02  
1  68   1.1352200E-01   1.1352200E-01  
1  69   6.7835000E-02   6.7835000E-02  
1  70   9.6504000E-02   9.6504000E-02  
1  71   7.0054000E-02   7.0054000E-02  
1  72   1.7666600E-01   1.7666600E-01  
1  73   5.7735000E-02   5.7735000E-02  
1  74   2.2366500E-01   2.2366500E-01  
1  75   5.9863000E-02   5.9863000E-02  
1  76   9.5306000E-02   9.5306000E-02  
1  77   8.8031000E-02   8.8031000E-02  
1  78   2.0083200E-01   2.0083200E-01  
1  79   7.9641000E-02   7.9641000E-02  
1  80   1.2789900E-01   1.2789900E-01  
1  81   1.8532500E-01   1.8532500E-01  
1  82   5.2945000E-02   5.2945000E-02  
1  83   2.3955400E-01   2.3955400E-01  
1  84   1.7037300E-01   1.7037300E-01  
1  85   1.3430500E-01   1.3430500E-01  
1  86   2.2818000E-01   2.2818000E-01  
1  87   7.6295000E-02   7.6295000E-02  
1  88   2.4464200E-01   2.4464200E-01  
1  89   1.6840100E-01   1.6840100E-01  
1  90   1.9214100E-01   1.9214100E-01  
1  91   2.1719000E-01   2.1719000E-01  
1  92   6.3637000E-02   6.3637000E-02  
1  93   1.1820200E-01   1.1820200E-01  
1  94   1.8752500E-01   1.8752500E-01  
1  95   1.6516500E-01   1.6516500E-01  
1  96   1.3543800E-01   1.3543800E-01  
1  97   1.0059000E-01   1.0059000E-01  
1  98   5.7616000E-02   5.7616000E-02  
1  99   1.2534100E-01   1.2534100E-01  
1  100   6.3503000E-02   6.3503000E-02  
1  101   1.6892600E-01   1.6892600E-01  
1  102   1.8857700E-01   1.8857700E-01  
1  103   7.5313000E-02   7.5313000E-02  
1  104   7.0646000E-02   7.0646000E-02  
1  105   1.3977100E-01   1.3977100E-01  
1  106   2.6775000E-01   2.6775000E-01  
1  107   6.0154000E-02   6.0154000E-02  
1  108   2.8768400E-01   2.8768400E-01  
1  109   1.6206100E-01   1.6206100E-01  
1  110   1.1155000E-01   1.1155000E-01  
1  111   1.8053700E-01   1.8053700E-01  
1  112   8.0025000E-02   8.0025000E-02  
1  113   1.6081500E-01   1.6081500E-01  
1  114   1.0745600E-01   1.0745600E-01  
1  115   1.3146900E-01   1.3146900E-01  
1  116   1.1959300E-01   1.1959300E-01  
1  117   9.3320000E-02   9.3320000E-02  
1  118   6.6963000E-02   6.6963000E-02  
1  119   1.5267600E-01   1.5267600E-01  
1  120   8.8153000E-02   8.8153000E-02  
1  121   1.7142500E-01   1.7142500E-01  
1  122   2.3622000E-01   2.3622000E-01  
1  123   1.0124100E-01   1.0124100E-01  
1  124   6.9938000E-02   6.9938000E-02  
1  125   9.6527000E-02   9.6527000E-02  
1  126   1.0715600E-01   1.0715600E-01  
1  127   2.1492800E-01   2.1492800E-01  
2  1   4.9904000E-02   4.9904000E-02  
2  2   1.6050600E-01   1.6050600E-01  
2  3   1.3342600E-01   1.3342600E-01  
2  4   1.4589000E-01   1.4589000E-01  
2  5   7.8530000E-02   7.8530000E-02  
2  6   5.2488000E-02   5.2488000E-02  
2  7   1.0014400E-01   1.0014400E-01  
2  8   5.6405000E-02   5.6405000E-02  
2  9   6.3882000E-02   6.3882000E-02  
2  10   1.4112000E-01   1.4112000E-01  
2  11   1.0019800E-01   1.0019800E-01  
2  12   2.1647700E-01   2.1647700E-01  
2  13   1.2752900E-01   1.2752900E-01  
2  14   1.5737300E-01   1.5737300E-01  
2  15   5.6988000E-02   5.6988000E-02  
2  16   5.1752000E-02   5.1752000E-02  
2  17   1.0198600E-01   1.0198600E-01  
2  18   1.1270200E-01   1.1270200E-01  
2  19   2.0980200E-01   2.0980200E-01  
2  20   5.3889000E-02   5.3889000E-02  
2  21   1.0417100E-01   1.0417100E-01  
2  22   5.4456000E-02   5.4456000E-02  
2  23   1.1481800E-01   1.1481800E-01  
