Iter  GoF  SOIL__N  SOIL__LOG10_Alpha  SOIL__ThetaSat  SOIL__ThetaRes  SOIL__LOG10_NormalHydrConductivity  SCALAR__SoilRoughness  SCALAR__LSAI  SCALAR__CanopyFraction  SCALAR__DecayCoeffCanopy  SCALAR__RootDepth  SCALAR__MinStomatalRes  SCALAR__VegReflectVis  SCALAR__VegReflNIR  SCALAR__VegTransVis  SCALAR__VegTransNIR  SCALAR__CanDensSurface  SCALAR__SoilAlbVisDry  SCALAR__SoilAlbNIRDry  SCALAR__SoilAlbVisWet  SCALAR__SoilAlbNIRWet  SCALAR__SoilEmissiv  
1   6.9105000E-02   1.9199495E+00  -2.7501841E+00   4.6371288E-01   6.8675159E-02  -3.6771381E+00   1.1018812E+02   7.5180438E-01   5.5939832E-02   1.0026435E+01   7.8424620E+02   8.9235069E+01   8.3068451E-02   2.0370370E-01   5.9373502E-02   5.1565966E-01   4.3157343E+00   1.3138707E-01   2.1391549E-01   3.8061321E-01   1.1161042E-01   9.3646314E-01  
2   6.6729000E-02   1.9480436E+00  -2.3075501E+00   5.1198275E-01   6.0101201E-02  -3.4286303E+00   3.9095293E+02   6.1850990E-01   5.0322322E-02   5.5276736E+01   5.8823786E+02   3.3965953E+01   1.1551712E-01   2.3657659E-01   8.3103010E-02   5.1877878E-01   3.9745789E+00   2.0925761E-01   1.5420652E-01   2.8092961E-01   9.7712270E-02   9.7573613E-01  
3   6.4376000E-02   2.0000000E+00  -2.2913819E+00   4.0000000E-01   6.5043426E-02  -3.9286376E+00   1.0000000E+01   5.7112511E-01   3.2997362E-01   1.4530330E+01   1.0000000E+03   6.5344476E+01   1.9125643E-01   3.0187070E-01   7.9072617E-02   4.5213261E-01   7.8388868E+00   1.7481934E-01   2.4676095E-01   4.0000000E-01   3.6566641E-01   9.3156805E-01  
4   5.4757000E-02   1.6587513E+00  -2.2554864E+00   4.0000000E-01   4.0000000E-02  -4.3010300E+00   1.0000000E+01   4.3624969E-01   0.0000000E+00   5.5153912E+01   1.0000000E+03   1.5389849E+01   1.2945452E-01   3.7170679E-01   8.8108050E-02   3.5954978E-01   2.3787032E+00   3.0000000E-01   8.8101811E-02   2.7085035E-01   2.3608944E-01   9.6590658E-01  
5   5.4757000E-02   1.6587513E+00  -2.2554864E+00   4.0000000E-01   4.0000000E-02  -4.3010300E+00   1.0000000E+01   4.3624969E-01   0.0000000E+00   5.5153912E+01   1.0000000E+03   1.5389849E+01   1.2945452E-01   3.7170679E-01   8.8108050E-02   3.5954978E-01   2.3787032E+00   3.0000000E-01   8.8101811E-02   2.7085035E-01   2.3608944E-01   9.6590658E-01  
6   5.3798000E-02   1.8450438E+00  -2.1942087E+00   4.0000000E-01   4.4064891E-02  -4.3010300E+00   1.0000000E+01   3.4978790E-01   5.0956399E-02   5.0521625E+01   8.4099304E+02   1.6280380E+01   1.7559285E-01   3.0109688E-01   4.7002589E-02   2.7452320E-01   7.3594188E+00   2.7818009E-01   5.8255236E-02   3.0689860E-01   1.8413652E-01   9.5000718E-01  
7   5.3798000E-02   1.8450438E+00  -2.1942087E+00   4.0000000E-01   4.4064891E-02  -4.3010300E+00   1.0000000E+01   3.4978790E-01   5.0956399E-02   5.0521625E+01   8.4099304E+02   1.6280380E+01   1.7559285E-01   3.0109688E-01   4.7002589E-02   2.7452320E-01   7.3594188E+00   2.7818009E-01   5.8255236E-02   3.0689860E-01   1.8413652E-01   9.5000718E-01  
8   5.3798000E-02   1.8450438E+00  -2.1942087E+00   4.0000000E-01   4.4064891E-02  -4.3010300E+00   1.0000000E+01   3.4978790E-01   5.0956399E-02   5.0521625E+01   8.4099304E+02   1.6280380E+01   1.7559285E-01   3.0109688E-01   4.7002589E-02   2.7452320E-01   7.3594188E+00   2.7818009E-01   5.8255236E-02   3.0689860E-01   1.8413652E-01   9.5000718E-01  
9   5.2881000E-02   1.9773688E+00  -2.0969100E+00   4.1823362E-01   4.4920293E-02  -4.3010300E+00   3.2953159E+01   3.1457230E-01   4.3176472E-02   3.6072744E+01   6.8052979E+02   2.5035077E+01   2.0000000E-01   3.3953888E-01   8.9130198E-02   3.6353244E-01   7.2006565E+00   2.8164039E-01   1.1027377E-01   4.0000000E-01   2.9980285E-01   9.4853919E-01  
10   5.2881000E-02   1.9773688E+00  -2.0969100E+00   4.1823362E-01   4.4920293E-02  -4.3010300E+00   3.2953159E+01   3.1457230E-01   4.3176472E-02   3.6072744E+01   6.8052979E+02   2.5035077E+01   2.0000000E-01   3.3953888E-01   8.9130198E-02   3.6353244E-01   7.2006565E+00   2.8164039E-01   1.1027377E-01   4.0000000E-01   2.9980285E-01   9.4853919E-01  
